subject,sessionIndex,rep,H.period,DD.period.x,UD.period.x,H.x,DD.x.a,UD.x.a,H.a,DD.a.t,UD.a.t,H.t,DD.t.1,UD.t.1,H.1,DD.1.7,UD.1.7,H.7,DD.7.p,UD.7.p,H.p,DD.p.a,UD.p.a,H.a,DD.a.d,UD.a.d,H.d,DD.d.n,UD.d.n,H.n,DD.n.Return,UD.n.Return,H.Return
subject0,1,1,0.0794649124,0.7434239388,0.6639590263,0.0826570988,0.1623589993,0.0797019005,0.1526110172,0.5260920525,0.3734810352,0.0927619934,1.8772070408,1.7844450474,0.1017930508,0.5281128883,0.4263198376,0.0812661648,1.6938362122,1.6125700474,0.0885779858,0.3432269096,0.2546489239,0.1371970177,0.3361470699,0.1989500523,0.0544400215,1.623030901,1.5685908794,0.1062710285,0.8734779358,0.7672069073,0.1669940948
subject0,1,2,0.1182842255,0.8694400787,0.7511558533,0.0926039219,0.186743021,0.0941390991,0.1437139511,0.4374608994,0.2937469482,0.097880125,1.3286681175,1.2307879925,0.1272079945,0.6816930771,0.5544850826,0.0880868435,1.1056389809,1.0175521374,0.1021418571,0.2688429356,0.1667010784,0.1282329559,0.3225269318,0.1942939758,0.1184279919,0.5003991127,0.3819711208,0.1173088551,1.3685479164,1.2512390614,0.1329140663
subject0,1,3,0.0898430347,1.1253130436,1.0354700089,0.0840890408,0.2176520824,0.1335630417,0.1416590214,0.4644010067,0.3227419853,0.0976679325,1.2888739109,1.1912059784,0.1175780296,1.161853075,1.0442750454,0.1027319431,1.0188109875,0.9160790443,0.117513895,0.2413918972,0.1238780022,0.1374940872,0.2619509697,0.1244568825,0.1134200096,0.6129040718,0.4994840622,0.1308140755,1.0590879917,0.9282739162,0.153938055
subject0,1,4,0.097424984,0.5653460026,0.4679210186,0.0871429443,0.1861889362,0.0990459919,0.128305912,0.4587550163,0.3304491043,0.0877599716,1.1368639469,1.0491039753,0.1129779816,0.5453469753,0.4323689938,0.0878639221,1.1939871311,1.106123209,0.1073558331,0.2698647976,0.1625089645,0.1519331932,0.3068170547,0.1548838615,0.1181881428,0.3774991035,0.2593109608,0.1120028496,0.6665489674,0.5545461178,0.1187870502
subject0,1,5,0.0937318802,0.7437579632,0.650026083,0.095484972,0.1845340729,0.0890491009,0.1575667858,0.5987448692,0.4411780834,0.0887341499,0.9930980206,0.9043638706,0.117898941,0.5553541183,0.4374551773,0.0820279121,1.3396589756,1.2576310635,0.088092804,0.2026998997,0.1146070957,0.1356320381,0.2620749474,0.1264429092,0.1086480618,0.668197155,0.5595490932,0.1234529018,4.9996948242,4.8762419224,0.1529221535
subject0,1,6,0.1136548519,0.7137050629,0.600050211,0.095468998,0.1569588184,0.0614898205,0.1487700939,0.5297281742,0.3809580803,0.0945978165,1.0466518402,0.9520540237,0.1283261776,0.701747179,0.5734210014,0.0981040001,1.3513848782,1.2532808781,0.1225891113,0.32188797,0.1992988586,0.1439869404,0.3396561146,0.1956691742,0.1191968918,0.4374268055,0.3182299137,0.0981941223,0.5190131664,0.4208190441,0.1419038773
subject0,1,7,0.1244690418,1.1248321533,1.0003631115,0.0978970528,0.1856789589,0.0877819061,0.1387839317,0.4169819355,0.2781980038,0.0867040157,0.9225580692,0.8358540535,0.1081109047,0.5291318893,0.4210209847,0.092869997,0.5473451614,0.4544751644,0.1053199768,0.2098178864,0.1044979095,0.1470351219,0.2369291782,0.0898940563,0.1283118725,0.4956228733,0.3673110008,0.0874760151,0.7450659275,0.6575899124,0.1328010559
subject0,1,8,0.1163330078,0.6077208519,0.4913878441,0.0933852196,0.1826341152,0.0892488956,0.1468520164,0.4425969124,0.2957448959,0.1003470421,0.4412500858,0.3409030437,0.1270010471,0.4734899998,0.3464889526,0.0926830769,0.7814800739,0.6887969971,0.1362938881,0.6707379818,0.5344440937,0.1452269554,0.1996309757,0.0544040203,0.1336109638,0.5766940117,0.4430830479,0.1009440422,1.2154459953,1.1145019531,0.1297910213
subject0,1,9,0.1183729172,1.1434149742,1.025042057,0.0872988701,0.2033019066,0.1160030365,0.1467571259,0.5385861397,0.3918290138,0.0929348469,0.3243868351,0.2314519882,0.127712965,0.954709053,0.826996088,0.1139469147,0.7824690342,0.6685221195,0.1136460304,0.2522389889,0.1385929585,0.1532008648,0.2022910118,0.049090147,0.1243569851,0.3730978966,0.2487409115,0.1157660484,1.2402040958,1.1244380474,0.1528999805
subject0,1,10,0.12834692,0.5794968605,0.4511499405,0.1063950062,0.1865739822,0.0801789761,0.1624679565,0.4019770622,0.2395091057,0.0977790356,0.2830619812,0.1852829456,0.1293950081,0.983093977,0.8536989689,0.088766098,0.5248589516,0.4360928535,0.101555109,0.1492869854,0.0477318764,0.1488730907,0.2635681629,0.1146950722,0.1219069958,0.6055309772,0.4836239815,0.0944399834,0.7105710506,0.6161310673,0.1259548664
